ID,Customer Age (in months),"Churn (1 = Yes, 0 = No)",CHI Score Month 0,CHI Score 0-1,Support Cases Month 0,Support Cases 0-1,SP Month 0,SP 0-1,Logins 0-1,Blog Articles 0-1,Views 0-1, Days Since Last Login 0-1
"5,469",1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,470",3, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,471",4, -   ,10,-33, -   , -   , -   , -   ,-6,-1, -   ,1
"5,472",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,473",4, -   ,96,63,4,4,3,3,10, -   ,1,5
"5,474",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,475",4, -   ,126,79,4,4,3,3,142,-4, -   , -   
"5,476",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,477",4, -   ,68,68, -   , -   , -   , -   ,46,-2,1, -   
"5,478",3, -   ,102,102,4,4,2.8,2.8,176, -   , -   , -   
"5,479",1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,480",4, -   ,13,-38, -   , -   , -   , -   ,10,-1, -   ,5
"5,481",3, -   ,15,15, -   , -   , -   , -   ,44, -   , -   , -   
"5,482",4, -   ,5,5, -   , -   , -   , -   ,28, -   ,4, -   
"5,483",3, -   , -   , -   , -   , -   , -   , -   ,2, -   , -   , -   
"5,484",3, -   ,25,25, -   , -   , -   , -   ,76, -   , -   , -   
"5,485",4, -   ,5,-26, -   , -   , -   , -   ,48,-1, -   , -   
"5,486",1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,487",3, -   ,28,28, -   , -   , -   , -   ,4,1, -   , -   
"5,488",4, -   ,40,6, -   , -   , -   , -   ,34,-1, -   , -   
"5,489",3, -   ,29,29, -   , -   , -   , -   ,56, -   , -   , -   
"5,490",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,491",4, -   ,57,24,2,2,3,3,226,-1, -   , -   
"5,492",3, -   ,20,20, -   , -   , -   , -   ,48, -   , -   , -   
"5,493",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,494",4, -   ,8,8,3,3,3,3,32, -   , -   , -   
"5,495",3, -   , -   , -   , -   , -   , -   , -   , -   ,1, -   , -   
"5,496",1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,497",4, -   , -   , -   ,1,1,3,3,4,-1, -   , -   
"5,498",3, -   ,80,80,5,5,3,3,86, -   , -   , -   
"5,499",4, -   ,96,83,4,4,3,3,50,1,4, -   
"5,500",4, -   ,127,106,4,3,3, -   ,100,2, -   ,3
"5,501",1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,502",4, -   ,70,49,1,1,3,3,170,-1, -   ,4
"5,503",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,504",3, -   ,153,153,2,2,3,3,148,8, -   , -   
"5,505",4, -   ,52,21, -   , -   , -   , -   ,28,1, -   ,1
"5,506",3, -   , -   , -   , -   , -   , -   , -   ,10, -   , -   , -   
"5,507",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,508",4, -   ,151,151,3,3,3,3,142,2, -   , -   
"5,509",4, -   ,156,156,7,5,3, -   ,20,3, -   , -   
"5,510",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,511",3, -   ,110,110,4,4,3,3,72,1, -   , -   
"5,512",4, -   ,55,34,3,3,3,3,56,-1, -   ,1
"5,513",3, -   ,26,26,2,2,3.5,3.5,52, -   , -   , -   
"5,514",3, -   ,31,31,4,4,3,3,78, -   , -   , -   
"5,515",3, -   ,48,48, -   , -   , -   , -   ,14,1, -   , -   
"5,516",3, -   ,112,112,7,7,3,3,66,7, -   , -   
"5,517",4, -   ,19,-2, -   , -   , -   , -   ,32,-1, -   , -   
"5,518",4, -   ,101,101,3,3,2.7,2.7,82, -   , -   , -   
"5,519",4, -   ,102,81,1,1,3,3,172, -   , -   , -   
"5,520",1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,521",4, -   ,22,22, -   , -   , -   , -   ,60, -   , -   , -   
"5,522",4, -   , -   , -   , -   , -   , -   , -   , -   ,-1, -   , -   
"5,523",4, -   , -   , -   , -   , -   , -   , -   ,2,-1, -   , -   
"5,524",3, -   ,125,125,7,7,3,3,132,3, -   , -   
"5,525",3, -   ,112,112,1,1,3,3,134,3, -   , -   
"5,526",4, -   ,110,89,3,3,3,3,434,7, -   , -   
"5,527",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,528",3, -   ,15,15,1,1,3,3,76, -   , -   , -   
"5,529",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,530",4, -   ,20, -   ,6,6,3,3,78, -   ,9, -   
"5,531",4, -   ,151,151,2,2,2,2,78, -   , -   , -   
"5,532",1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,533",3, -   , -   , -   , -   , -   , -   , -   ,2, -   , -   , -   
"5,534",4, -   ,15,15, -   , -   , -   , -   ,54,-1, -   , -   
"5,535",4, -   ,31,31, -   , -   , -   , -   ,22, -   , -   , -   
"5,536",4, -   ,31,10, -   , -   , -   , -   ,14, -   , -   , -   
"5,537",4, -   ,70,29,3,3,3,3,148,-1, -   , -   
"5,538",3, -   , -   , -   , -   , -   , -   , -   ,4, -   , -   , -   
"5,539",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,540",4, -   ,153,153,20,20,3,3,180,7, -   , -   
"5,541",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,542",3, -   ,42,42, -   , -   , -   , -   ,64,2, -   , -   
"5,543",3, -   ,123,123, -   , -   , -   , -   ,182,2, -   , -   
"5,544",3, -   ,53,53, -   , -   , -   , -   ,24,1, -   , -   
"5,545",4, -   ,42,42, -   , -   , -   , -   ,20,2, -   , -   
"5,546",3, -   ,73,73, -   , -   , -   , -   ,76,2, -   , -   
"5,547",1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,548",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,549",1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,550",3, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,551",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,552",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,553",3, -   ,80,80,2,2,3,3,76, -   , -   , -   
"5,554",3, -   ,67,67, -   , -   , -   , -   ,34,2, -   , -   
"5,555",3, -   ,26,26, -   , -   , -   , -   ,50, -   , -   , -   
"5,556",3, -   ,11,11, -   , -   , -   , -   ,28, -   , -   , -   
"5,557",1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,558",3, -   ,59,59, -   , -   , -   , -   ,32,1, -   , -   
"5,559",3, -   ,46,46, -   , -   , -   , -   ,8,1, -   , -   
"5,560",2,1,73,73,4,4,3,3,68,2, -   , -   
"5,561",3, -   ,48,48, -   , -   , -   , -   ,20,1, -   , -   
"5,562",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,563",3, -   ,119,119,2,2,2.5,2.5,156,3, -   , -   
"5,564",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,565",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,566",3, -   ,41,41,2,2,2.5,2.5,64,1, -   , -   
"5,567",3, -   ,27,27, -   , -   , -   , -   ,72, -   , -   , -   
"5,568",3, -   ,62,62,3,3,2.3,2.3,74,2, -   , -   
"5,569",1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,570",3, -   ,164,164,11,11,3,3,314,3, -   , -   
"5,571",3, -   ,103,103, -   , -   , -   , -   ,126,3, -   , -   
"5,572",3, -   ,25,-25, -   , -   , -   , -   ,32,-1, -   , -   
"5,573",3, -   ,59,59,2,2,3,3,12,1, -   , -   
"5,574",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,575",3, -   ,110,110, -   , -   , -   , -   ,58,1, -   , -   
"5,576",3, -   ,96,96, -   , -   , -   , -   ,46,1, -   , -   
"5,577",3, -   ,101,101,4,4,3,3,14,1, -   , -   
"5,578",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,579",3, -   ,63,63,3,3,3,3,82,3, -   , -   
"5,580",1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,581",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,582",3, -   ,109,109,3,3,3,3,56,2, -   , -   
"5,583",3, -   ,98,98,3,3,3,3,72,1, -   , -   
"5,584",3, -   ,72,72, -   , -   , -   , -   ,28,2, -   , -   
"5,585",1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,586",3, -   ,42,42, -   , -   , -   , -   ,20,2, -   , -   
"5,587",2,1,57,57,1,1,3,3,56,2, -   , -   
"5,588",3, -   ,48,48, -   , -   , -   , -   ,58,1, -   , -   
"5,589",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,590",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,591",3, -   ,32,32, -   , -   , -   , -   ,4,1, -   , -   
"5,592",3, -   ,42,42, -   , -   , -   , -   ,50,2, -   , -   
"5,593",3, -   , -   , -   , -   , -   , -   , -   , -   ,2, -   , -   
"5,594",3, -   ,104,104, -   , -   , -   , -   ,294,1, -   , -   
"5,595",3, -   ,72,72,1,1,3,3,60,2, -   , -   
"5,596",3, -   ,61,61,1,1,3,3,38,1, -   , -   
"5,597",3, -   ,41,41, -   , -   , -   , -   ,38,1, -   , -   
"5,598",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,599",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,600",3, -   ,128,128,1,1,3,3,34,2, -   , -   
"5,601",3, -   ,46,46, -   , -   , -   , -   ,14,1, -   , -   
"5,602",3, -   ,48, -   , -   , -   , -   , -   ,32, -   , -   , -   
"5,603",3, -   ,42,42,1,1,3,3,20,1, -   , -   
"5,604",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,605",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,606",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,607",3, -   ,33,33,1,1,2,2,14,3, -   , -   
"5,608",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,609",3, -   ,101,101,2,2,3,3,22,9, -   , -   
"5,610",3, -   ,137,137, -   , -   , -   , -   ,128, -   , -   , -   
"5,611",3, -   , -   , -   , -   , -   , -   , -   , -   ,1, -   , -   
"5,612",3, -   ,31, -   , -   , -   , -   , -   ,34, -   ,93, -   
"5,613",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,614",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,615",3, -   ,41,41, -   , -   , -   , -   ,20,1, -   , -   
"5,616",3, -   ,106,106,2,2,3,3,88,3, -   , -   
"5,617",3, -   ,41,41,1,1,3,3,38,1, -   , -   
"5,618",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,619",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,620",3, -   ,67,67,3,3,3,3,102,2, -   , -   
"5,621",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,622",3, -   ,45,45, -   , -   , -   , -   ,58,2, -   , -   
"5,623",3, -   ,31,31, -   , -   , -   , -   ,10,1, -   , -   
"5,624",3, -   ,12,12, -   , -   , -   , -   ,24, -   , -   , -   
"5,625",3, -   ,123,123,1,1,3,3,32,2, -   , -   
"5,626",3, -   ,31,31, -   , -   , -   , -   ,2,1, -   , -   
"5,627",3, -   ,76,76,6,6,3,3,50,1, -   , -   
"5,628",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,629",3, -   ,32,32, -   , -   , -   , -   ,2,2, -   , -   
"5,630",3, -   ,41,41, -   , -   , -   , -   ,26,1, -   , -   
"5,631",3, -   ,32,32, -   , -   , -   , -   ,24,2, -   , -   
"5,632",3, -   ,90,90,2,2,2.5,2.5,54,2, -   , -   
"5,633",3, -   ,15,15, -   , -   , -   , -   ,42, -   , -   , -   
"5,634",3, -   ,145,145,1,1,1,1,94,6, -   , -   
"5,635",3, -   ,97,97,6,6,3,3,38,2, -   , -   
"5,636",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,637",3, -   ,109,109,1,1, -   , -   ,116,4, -   , -   
"5,638",3, -   ,71,71, -   , -   , -   , -   ,32,1, -   , -   
"5,639",3, -   ,31,31, -   , -   , -   , -   ,22,1, -   , -   
"5,640",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,641",3, -   ,117,117,1,1,3,3,34,2, -   , -   
"5,642",3, -   ,44,44, -   , -   , -   , -   ,30,2, -   , -   
"5,643",3, -   ,89,89,5,5,3,3,128,1, -   , -   
"5,644",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,645",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,646",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,647",3, -   ,84,84,9,9,3,3,106,3, -   , -   
"5,648",3, -   ,5,5,2,2,3,3,68, -   , -   , -   
"5,649",3, -   ,41,41, -   , -   , -   , -   ,62,1, -   , -   
"5,650",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,651",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,652",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,653",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,654",3, -   ,69,69,2,2,3,3,38, -   , -   , -   
"5,655",3, -   ,66,66,1,1,3,3,46,1, -   , -   
"5,656",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,657",1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,658",3, -   ,5,5, -   , -   , -   , -   ,30, -   , -   , -   
"5,659",1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,660",3, -   ,45,45, -   , -   , -   , -   ,22,1, -   , -   
"5,661",3, -   ,92,92,2,2,3,3,44,2, -   , -   
"5,662",3, -   ,151,151,3,3,3,3,84,1, -   , -   
"5,663",3, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,664",3, -   ,44,44, -   , -   , -   , -   ,40,2, -   , -   
"5,665",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,666",3, -   ,32,32, -   , -   , -   , -   ,6,2, -   , -   
"5,667",3, -   ,51,51,2,2,3,3,40,1, -   , -   
"5,668",3, -   ,41,41, -   , -   , -   , -   ,34,1, -   , -   
"5,669",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,670",1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,671",3, -   ,48,48,2,2,3,3,30,3, -   , -   
"5,672",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,673",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,674",3, -   ,31,31, -   , -   , -   , -   ,12,1, -   , -   
"5,675",3, -   ,46,46, -   , -   , -   , -   ,40,4, -   , -   
"5,676",3, -   ,42,42, -   , -   , -   , -   ,18,1, -   , -   
"5,677",3, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,678",3, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,679",1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,680",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,681",3, -   ,22,22, -   , -   , -   , -   ,2,2, -   , -   
"5,682",3, -   ,57,57, -   , -   , -   , -   ,118,1, -   , -   
"5,683",3, -   ,21,21, -   , -   , -   , -   ,48, -   , -   , -   
"5,684",3, -   ,67,67,2,2,2.5,2.5,48, -   , -   , -   
"5,685",3, -   ,44,44, -   , -   , -   , -   ,18,1, -   , -   
"5,686",3, -   ,15,15, -   , -   , -   , -   ,72, -   , -   , -   
"5,687",3, -   ,43,43, -   , -   , -   , -   ,2,3, -   , -   
"5,688",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,689",3, -   , -   , -   , -   , -   , -   , -   ,6, -   , -   , -   
"5,690",3, -   ,31,31, -   , -   , -   , -   ,8,1, -   , -   
"5,691",3, -   ,107,107,8,8,3,3,176,1, -   , -   
"5,692",3, -   ,51,51, -   , -   , -   , -   ,52,1, -   , -   
"5,693",3, -   ,106,106, -   , -   , -   , -   ,68,1, -   , -   
"5,694",3, -   ,69,69,1,1,3,3,56,2, -   , -   
"5,695",3, -   , -   , -   , -   , -   , -   , -   ,22, -   , -   , -   
"5,696",3, -   ,52,52, -   , -   , -   , -   ,28,2, -   , -   
"5,697",3, -   ,113,113,1,1,3,3,44,1, -   , -   
"5,698",3, -   , -   , -   , -   , -   , -   , -   , -   ,1, -   , -   
"5,699",3, -   ,33,33,1,1,3,3,10,3, -   , -   
"5,700",1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,701",3, -   ,33,33, -   , -   , -   , -   ,8,2, -   , -   
"5,702",3, -   ,75,75, -   , -   , -   , -   ,88,1, -   , -   
"5,703",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,704",3, -   ,31,31, -   , -   , -   , -   ,12,1, -   , -   
"5,705",3, -   ,31,31, -   , -   , -   , -   ,18,1, -   , -   
"5,706",3, -   ,49,49, -   , -   , -   , -   ,16,9, -   , -   
"5,707",3, -   ,47,47, -   , -   , -   , -   ,18,1, -   , -   
"5,708",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,709",3, -   ,54,54,1,1,3,3,26,2, -   , -   
"5,710",3, -   ,100,100,4,4,2.8,2.8,46,1, -   , -   
"5,711",3, -   ,52,52, -   , -   , -   , -   ,14,2, -   , -   
"5,712",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,713",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,714",3, -   ,67,67,1,1,3,3,48,2, -   , -   
"5,715",3, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,716",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,717",3, -   , -   , -   , -   , -   , -   , -   , -   ,2, -   , -   
"5,718",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,719",3, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,720",3, -   ,43,43, -   , -   , -   , -   ,18,1, -   , -   
"5,721",3, -   ,41,41, -   , -   , -   , -   ,18,1, -   , -   
"5,722",3, -   ,31,31, -   , -   , -   , -   ,22,1, -   , -   
"5,723",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,724",3, -   ,34,34, -   , -   , -   , -   ,6,2, -   , -   
"5,725",3, -   ,6,6, -   , -   , -   , -   ,18, -   , -   , -   
"5,726",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,727",3, -   ,46,46, -   , -   , -   , -   ,54,1, -   , -   
"5,728",1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,729",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,730",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,731",3, -   ,134,134, -   , -   , -   , -   ,114,5, -   , -   
"5,732",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,733",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,734",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,735",3, -   ,41,41, -   , -   , -   , -   ,44,1, -   , -   
"5,736",3, -   ,31,31, -   , -   , -   , -   ,8,1, -   , -   
"5,737",3, -   ,42, -   , -   , -   , -   , -   ,46, -   ,9, -   
"5,738",1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,739",1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,740",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,741",3, -   ,63,63, -   , -   , -   , -   ,38,1, -   , -   
"5,742",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,743",3, -   ,77,77,1,1,3,3,20,2, -   , -   
"5,744",3, -   ,91,91,1,1,3,3,58, -   , -   , -   
"5,745",3, -   ,47,47, -   , -   , -   , -   ,16,1, -   , -   
"5,746",1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,747",3, -   ,32,32, -   , -   , -   , -   ,12,1, -   , -   
"5,748",3, -   ,53,53, -   , -   , -   , -   ,30,1, -   , -   
"5,749",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,750",3, -   ,31,31, -   , -   , -   , -   ,8,1, -   , -   
"5,751",3, -   ,45,45, -   , -   , -   , -   ,20,1, -   , -   
"5,752",3, -   ,33,33, -   , -   , -   , -   ,4,3, -   , -   
"5,753",1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,754",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,755",1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,756",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,757",3, -   ,60,60,1,1,3,3,68,2, -   , -   
"5,758",3, -   ,103,103, -   , -   , -   , -   ,68,1, -   , -   
"5,759",3, -   ,62,62, -   , -   , -   , -   ,28,25, -   , -   
"5,760",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,761",3, -   ,45,45, -   , -   , -   , -   ,24,2, -   , -   
"5,762",3, -   ,33,33, -   , -   , -   , -   ,12,1, -   , -   
"5,763",1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,764",1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,765",2,1,53,53, -   , -   , -   , -   ,276,2, -   , -   
"5,766",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,767",3, -   ,96,96,2,2,3.5,3.5,82,8, -   , -   
"5,768",3, -   ,132,132,1,1,3,3,50,3, -   , -   
"5,769",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,770",3, -   ,44,44, -   , -   , -   , -   ,24,1, -   , -   
"5,771",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,772",1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,773",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,774",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,775",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,776",3, -   ,51,51, -   , -   , -   , -   ,12,1, -   , -   
"5,777",3, -   ,72,72, -   , -   , -   , -   ,32,18, -   , -   
"5,778",3, -   ,89,89, -   , -   , -   , -   ,60,1, -   , -   
"5,779",1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,780",3, -   ,44, -   , -   , -   , -   , -   ,18, -   , -   , -   
"5,781",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,782",3, -   ,31,31, -   , -   , -   , -   ,10,1, -   , -   
"5,783",3, -   ,34,34, -   , -   , -   , -   ,14,1, -   , -   
"5,784",3, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,785",1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,786",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,787",3, -   ,33,33, -   , -   , -   , -   ,4,2, -   , -   
"5,788",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,789",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,790",3, -   ,31,31,1,1,3,3,6,1, -   , -   
"5,791",3, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,792",3, -   ,21,21, -   , -   , -   , -   ,2,1, -   , -   
"5,793",1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,794",3, -   ,45,45,1,1,3,3,28,3, -   , -   
"5,795",3, -   ,31,31, -   , -   , -   , -   ,6,1, -   , -   
"5,796",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,797",3, -   ,21,21, -   , -   , -   , -   ,2,1, -   , -   
"5,798",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,799",3, -   ,32,32, -   , -   , -   , -   ,14,1, -   , -   
"5,800",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,801",1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,802",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,803",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,804",3, -   ,31, -   , -   , -   , -   , -   ,12, -   , -   , -   
"5,805",3, -   , -   , -   , -   , -   , -   , -   , -   ,1, -   , -   
"5,806",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,807",3, -   ,32,32, -   , -   , -   , -   ,50,1, -   , -   
"5,808",3, -   ,56,56,1,1,3,3,2,2, -   , -   
"5,809",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,810",3, -   ,88,88, -   , -   , -   , -   ,12,1, -   , -   
"5,811",1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,812",1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,813",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,814",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,815",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,816",1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,817",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,818",3, -   ,51,51, -   , -   , -   , -   ,10,1, -   , -   
"5,819",1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,820",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,821",3, -   , -   , -   , -   , -   , -   , -   , -   ,1, -   , -   
"5,822",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,823",3, -   , -   , -   , -   , -   , -   , -   , -   ,1, -   , -   
"5,824",3, -   ,33,33, -   , -   , -   , -   ,8,3, -   , -   
"5,825",1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,826",3, -   , -   , -   , -   , -   , -   , -   , -   ,1, -   , -   
"5,827",3, -   ,21,21, -   , -   , -   , -   ,2,1, -   , -   
"5,828",3, -   , -   , -   , -   , -   , -   , -   ,18, -   , -   , -   
"5,829",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,830",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,831",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"5,832",2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
